0.008274862,-0.15,0.027,0.183,0.0
0.013059498,-0.2,0.039,0.286,0.2000782551
0.017844133,-0.214,0.056,0.358,0.5143012179
0.022628768,-0.224,0.087,0.463,0.6975268632
0.027413404,-0.16,0.118,0.513,0.7102149505
0.032198039,-0.042,0.131,0.507,0.5498326043
0.036982675,0.097,0.145,0.463,0.4711581452
0.04176731,0.264,0.135,0.411,0.4743247625
0.046551945,0.437,0.11,0.355,0.5310804377
0.051336581,0.614,0.094,0.325,0.69090054
0.056121216,0.8,0.091,0.29,0.8514080181
0.060905852,0.955,0.085,0.229,1.105908207
0.065690487,1.051,0.111,0.154,1.218286818
0.070475123,1.096,0.165,0.113,1.129498919
0.075259758,1.087,0.22,0.075,1.068748088
0.080044393,1.031,0.288,0.031,1.082437633
0.084829029,0.951,0.379,0.036,1.094326083
0.089613664,0.825,0.582,0.36,1.022413346
0.0943983,0.676,0.802,0.676,0.9226793053
0.099182935,0.581,1.091,0.891,2.082588808
0.10396757,0.517,1.384,1.126,2.158187064
0.108752206,0.402,1.549,1.369,2.207095523
0.113536841,0.25,1.46,1.328,2.316756587
0.118321477,0.075,1.287,1.213,1.917448155
0.123106112,-0.13,0.958,1.123,1.661369782
0.127890748,-0.127,0.478,1.109,1.308030389
0.132675383,-0.048,0.053,1.129,0.8440869986
0.137460018,0.146,-0.264,1.084,1.325860783
0.142244654,0.387,-0.541,1.136,1.67963377
0.147029289,0.622,-0.738,1.203,1.578318209
0.151813925,0.645,-0.754,1.029,1.687005663
0.15659856,0.683,-0.684,0.61,1.480068034
0.161383195,0.702,-0.592,0.178,0.9353032858
0.166167831,0.658,-0.462,-0.449,1.074536066
0.170952466,0.587,-0.246,-1.308,1.250947146
0.175737102,0.523,-0.019,-2.095,1.882708731
0.180521737,0.462,0.169,-2.58,3.309602352
0.185306373,0.434,0.305,-2.907,3.788373961
0.190091008,0.529,0.337,-2.934,3.192464596
0.194875643,0.677,0.175,-2.504,2.676918376
