0.0238007,-2.166,3.043,8.971
0.071637782,-2.126,3.044,8.98
0.11947497,-2.081,3.042,9.22
0.167312054,-1.568,2.591,9.382
0.215149242,-1.33,2.533,9.966
0.262986324,-0.824,2.371,9.747
0.310823512,-0.078,2.182,9.766
0.358660596,0.864,1.61,9.327
0.406497782,1.087,1.988,9.621
0.454334866,1.197,2.115,9.338
0.50217195,1.211,2.298,9.866
0.550009136,0.782,2.425,10.026
0.59784622,0.152,2.989,10.075
0.645683304,-0.3,2.915,9.639
0.693520386,-0.351,2.985,8.81
0.74135747,-0.538,3.086,9.106
0.789194554,-0.124,3.386,8.849
0.837031742,-0.367,3.903,9.291
0.884868824,-0.203,4.169,9.818
0.932705908,-0.106,4.21,10.306
0.980542992,-0.111,4.227,9.343
1.028380074,-0.702,4.013,9.073
1.076217158,-0.356,3.44,8.74
1.124054136,-0.232,3.196,8.175
1.17189122,-0.266,3.074,7.999
1.219728304,-0.23,3.047,7.83
1.267565386,0.111,3.352,7.88
1.31540247,0.203,3.737,7.866
1.363239554,0.387,4.05,8.571
1.41107656,0.466,4.403,9.409
1.458913644,0.687,4.355,10.476
1.506750728,0.555,3.83,11.127
1.554587706,0.365,3.205,11.493
1.60242479,0.369,2.896,10.665
1.650261874,0.697,2.592,9.664
1.698098852,0.537,2.57,8.732
1.745935936,0.543,2.932,7.751
1.793772914,0.613,3.497,7.23
1.841609998,0.489,3.935,7.014
1.889446978,0.099,4.153,7.443
1.93728406,-0.121,4.598,8.078
1.98512104,-0.039,4.888,9.462
2.03295802,0.101,4.78,10.446
2.080795102,-0.236,4.403,10.792
2.128632082,-0.399,4.051,10.518
2.17646906,-0.04,3.447,9.989
2.224306144,0.019,2.923,8.861
2.272143124,0.066,2.778,7.833
2.319980102,0.432,2.852,7.71
2.367817082,0.855,3.094,7.895
2.41565406,0.829,3.361,8.45
2.463491144,0.839,3.688,9.32
2.511328124,0.817,3.984,10.104
2.559165102,0.81,4.162,10.435
2.607002082,0.502,4.1,10.323
2.65483906,0.75,3.931,10.361
2.70267604,0.787,3.779,9.398
2.75051302,0.57,3.575,8.282
2.798349998,0.326,3.459,7.636
2.846186978,0.386,3.527,7.648
2.894023852,0.111,3.871,7.254
2.941860832,-0.025,4.105,7.895
2.98969781,-0.016,4.519,8.727
3.03753479,0.239,4.758,9.804
3.08537177,0.391,4.586,10.625
3.133208644,0.285,4.266,10.476
3.181045624,0.295,3.865,10.182
3.228882602,0.426,3.304,9.64
3.276719582,0.317,2.973,8.7
3.324556456,0.309,3.121,7.714
3.372393436,0.531,3.359,7.591
3.420230414,0.662,3.629,7.67
3.46806729,0.779,3.818,8.399
3.51590427,0.84,3.999,9.3
3.563741144,0.895,4.102,9.945
3.611578124,0.81,3.991,10.26
3.659415102,0.656,3.689,10.39
3.707251978,0.683,3.424,10.005
3.755088956,0.575,3.294,8.805
3.802925832,0.389,3.243,7.786
3.850762706,0.26,3.418,7.389
3.898599686,0.136,3.911,7.207
3.94643656,-0.037,4.366,7.347
3.99427354,-0.237,4.51,8.416
4.042110414,-0.373,4.959,9.512
4.08994729,-0.257,5.066,10.598
4.13778427,-0.312,4.596,11.093
4.185621144,-0.647,4.161,10.941
4.23345802,-0.515,3.744,10.41
4.281294894,-0.27,3.066,9.487
4.329131874,-0.257,2.661,8.303
4.376968748,0.019,2.853,7.587
4.424805624,0.267,3.113,7.473
4.472642498,0.394,3.448,7.878
4.520479374,0.283,3.619,9.056
4.568316352,0.336,3.982,9.998
4.616153228,0.388,4.1,10.559
4.663990102,0.43,3.906,10.71
4.711826978,0.399,3.555,10.564
4.759663852,0.488,3.412,9.437
4.807500728,0.318,3.135,8.633
4.855337602,0.184,3.065,7.903
4.903174478,0.089,3.286,7.708
4.951011352,0.106,3.78,7.22
4.998848228,-0.207,3.97,8.087
5.046685102,-0.323,4.258,8.846
5.094521978,-0.276,4.28,10.303
5.142358852,-0.268,4.108,10.802
5.190195728,-0.585,3.685,11.111
5.238032602,-0.333,3.325,10.671
5.285869478,-0.146,2.838,9.89
5.333706352,-0.163,2.6,8.4
5.381543124,-0.102,2.622,7.724
5.429379998,0.182,2.882,7.543
5.477216874,0.203,3.132,7.911
5.525053748,0.158,3.391,8.76
5.572890624,0.112,3.699,9.903
5.620727498,0.332,3.691,10.826
5.66856427,0.124,3.467,11.105
5.716401144,0.171,3.225,10.802
5.76423802,0.406,2.979,10.025
