3671857223	-5.581	5.346	6.712
3671857228	-5.658	5.231	6.599
3671857233	-5.663	5.108	6.417
3671857238	-5.686	4.791	6.09
3671857243	-5.499	4.456	5.843
3671857248	-5.133	4.135	5.716
3671857253	-4.768	3.921	5.678
3671857258	-4.434	3.856	5.734
3671857263	-4.087	3.886	5.856
3671857268	-3.763	3.964	5.945
3671857273	-3.465	4.024	5.828
3671857278	-3.053	3.948	5.568
3671857283	-2.576	3.781	5.276
3671857288	-2.11	3.617	4.991
3671857293	-1.703	3.48	4.66
3671857298	-1.367	3.355	4.45
3671857303	-1.13	3.241	4.361
3671857308	-0.964	3.08	4.316
3671857313	-0.853	2.89	4.277
3671857318	-0.896	2.938	4.283
3671857323	-1.158	3.285	4.238
3671857328	-1.531	3.799	4.126
3671857333	-1.973	4.351	3.934
3671857338	-2.696	5.079	3.712
3671857343	-3.376	5.708	3.408
3671857348	-3.836	6.09	3.054
3671857353	-4.227	6.329	2.673
3671857358	-4.675	6.578	2.293
3671857363	-4.9	6.658	1.917
3671857368	-5.098	6.584	1.579
3671857373	-5.264	6.394	1.486
3671857378	-4.994	5.858	1.858
3671857383	-4.357	4.673	2.356
3671857388	-3.753	3.362	2.88
3671857393	-3.335	2.22	3.696
3671857398	-3.095	1.156	4.257
3671857403	-3.414	0.419	4.277
3671857408	-4.175	0.403	4.131
3671857413	-4.893	0.653	3.892
3671857418	-5.208	0.817	3.316
3671857423	-5.139	0.971	2.788
3671857428	-4.704	1.115	2.374
3671857433	-3.944	1.136	2.065
3671857439	-3.121	1.032	1.908
3671857444	-2.576	0.955	1.932
3671857449	-2.467	1.03	2.248
3671857454	-2.793	1.299	2.978
3671857459	-3.491	1.768	4.297
3671857464	-4.213	2.247	5.951
3671857469	-4.709	2.587	7.536
3671857474	-4.922	2.943	8.893
3671857479	-4.701	3.499	9.712
3671857484	-4.178	4.167	10.936
3671857489	-3.275	5.142	10.617
3671857494	-2.708	5.882	11.209
3671857499	-2.439	6.422	12.033
3671857504	-2.576	6.714	13.032
3671857509	-3.155	7.012	13.585
3671857514	-4.43	7.185	15.379
3671857519	-5.54	7.445	16.179
3671857524	-5.747	6.689	16.86
3671857529	-5.224	5.062	17.221
3671857534	-4.453	3.12	17.157
3671857539	-3.706	1.248	17.233
3671857544	-3.242	-0.159	17.367
3671857549	-3.612	-0.417	17.239
3671857554	-4.464	-0.026	17.252
3671857559	-5.19	0.333	17.09
3671857564	-5.666	0.525	16.785
3671857569	-5.93	0.655	16.616
3671857574	-6.132	0.879	16.647
3671857579	-6.342	1.247	16.78
3671857584	-6.385	1.538	16.89
3671857589	-6.16	1.622	16.882
3671857594	-5.711	1.551	16.623
3671857599	-5.121	1.393	16.118
3671857604	-4.471	1.221	15.476
3671857609	-3.832	1.186	14.732
3671857614	-3.215	1.316	13.876
3671857619	-2.588	1.518	12.951
3671857624	-1.926	1.733	12.063
3671857629	-1.293	1.978	11.232
3671857634	-0.78	2.253	10.395
3671857639	-0.422	2.53	9.535
3671857644	-0.159	2.714	8.748
3671857649	-0.067	2.87	8.049
3671857654	-0.087	3.071	7.526
3671857659	-0.178	3.365	7.265
3671857664	-0.327	3.696	7.261
3671857669	-0.568	4.075	7.369
3671857674	-0.762	4.399	7.504
3671857679	-0.842	4.59	7.572
3671857684	-0.805	4.632	7.497
3671857689	-0.671	4.579	7.3
3671857694	-0.472	4.509	7.073
3671857699	-0.123	4.433	6.895
3671857704	0.231	4.404	6.707
3671857709	0.442	4.441	6.546
3671857714	0.537	4.53	6.403
3671857719	0.531	4.635	6.223
3671857724	0.294	4.776	6.002
3671857729	-0.084	4.954	5.817
3671857734	-0.462	5.113	5.653
3671857739	-0.834	5.212	5.533
3671857744	-1.185	5.277	5.521
3671857749	-1.429	5.341	5.64
3671857754	-1.42	5.318	5.904
3671857759	-1.251	5.221	6.275
3671857764	-1.007	5.092	6.718
3671857769	-0.696	4.974	7.149
3671857774	-0.418	4.873	7.525
3671857779	-0.355	4.837	7.808
3671857784	-0.396	4.873	7.989
3671857789	-0.434	4.96	8.071
3671857794	-0.488	5.024	8.079
3671857799	-0.552	5.046	8.047
3671857804	-0.596	5.05	7.999
3671857809	-0.641	5.037	7.981
3671857814	-0.723	5.012	8.002
3671857819	-0.841	4.976	8.044
3671857824	-0.969	4.943	8.053
3671857829	-1.134	4.923	8.045
3671857834	-1.314	4.897	8.032
3671857839	-1.483	4.863	7.987
3671857844	-1.628	4.822	7.939
3671857849	-1.769	4.767	7.912
3671857854	-1.888	4.699	7.899
3671857859	-1.981	4.638	7.891
3671857864	-2.009	4.568	7.904
3671857869	-1.965	4.5	7.939
3671857874	-1.908	4.438	8.029
3671857879	-1.831	4.363	8.171
3671857884	-1.717	4.271	8.346
3671857889	-1.606	4.183	8.521
3671857894	-1.513	4.13	8.654
3671857899	-1.411	4.113	8.696
3671857905	-1.335	4.125	8.659
3671857910	-1.319	4.15	8.58
3671857915	-1.367	4.175	8.499
3671857920	-1.45	4.178	8.444
3671857925	-1.53	4.154	8.428
3671857930	-1.579	4.122	8.441
3671857935	-1.593	4.107	8.463
3671857940	-1.575	4.108	8.486
3671857945	-1.539	4.119	8.49
3671857950	-1.504	4.147	8.451
3671857955	-1.481	4.187	8.38
3671857960	-1.438	4.231	8.265
3671857965	-1.369	4.295	8.096
3671857970	-1.284	4.363	7.907
3671857975	-1.189	4.418	7.727
3671857980	-1.109	4.465	7.573
3671857985	-1.075	4.505	7.464
3671857990	-1.097	4.523	7.4
3671857995	-1.144	4.511	7.37
3671858000	-1.097	4.448	7.399
3671858005	-1.071	4.388	7.44
3671858010	-1.065	4.317	7.487
3671858015	-0.952	4.206	7.497
3671858020	-0.867	4.123	7.508
3671858025	-0.97	4.112	7.535
3671858030	-1.118	4.095	7.603
3671858035	-1.278	4.061	7.692
3671858040	-1.516	4.019	7.821
