3589572027	ACC	-1.5631114	4.7778687	4.3331027
3589572032	ACC	-2.0659032	4.933701	4.357031
3589572037	ACC	-2.4924238	5.041378	4.3761735
3589572042	ACC	-2.8974092	5.2235317	4.508078
3589572047	ACC	-3.251846	5.393422	4.7162533
3589572052	ACC	-3.5057843	5.4870415	4.9342995
3589572057	ACC	-3.5919259	5.750551	4.9989057
3589572062	ACC	-3.5225341	6.006882	4.9606204
3589572067	ACC	-3.345166	6.289534	4.955835
3589572072	ACC	-3.0242288	6.4091754	4.9606204
3589572077	ACC	-2.7152555	6.48096	4.9917274
3589572082	ACC	-2.3341985	6.5075803	5.1619167
3589572087	ACC	-1.9797616	6.452246	5.4637113
3589572092	ACC	-1.7162521	6.320641	5.916553
3589572097	ACC	-1.4096717	6.0164533	6.4268227
3589572102	ACC	-1.0456635	5.467899	6.9323063
3589572107	ACC	-0.65264237	4.818547	7.2580295
3589572112	ACC	-0.30299118	4.2077785	7.5382886
3589572117	ACC	-0.18783657	3.6687953	7.8017983
3589572122	ACC	-0.23838496	3.4005	8.1012
3589572127	ACC	-0.36281174	3.3502507	8.343174
3589572132	ACC	-0.60000026	3.388536	8.570791
3589572137	ACC	-0.8994022	3.4603207	8.685647
3589572142	ACC	-1.1844472	3.5105698	8.673683
3589572147	ACC	-1.3618152	3.4076786	8.566006
3589572152	ACC	-1.4886348	3.3023944	8.414959
3589572157	ACC	-1.6277176	3.1728828	8.19452
3589572162	ACC	-1.7353946	2.9979076	7.926225
3589572167	ACC	-1.8290138	2.8280172	7.7108707
3589572172	ACC	-1.8361923	2.6458635	7.4904323
3589572177	ACC	-1.7114664	2.574079	7.20778
3589572182	ACC	-1.649253	2.722434	6.9945197
3589572187	ACC	-1.6875381	3.0003004	6.8315086
3589572192	ACC	-1.6755741	3.3574293	6.719046
3589572197	ACC	-1.6277176	3.7334015	6.632605
3589572202	ACC	-1.6181463	4.0905304	6.632605
3589572207	ACC	-1.6325033	4.363611	6.596713
3589572212	ACC	-1.5631114	4.4952164	6.5464635
3589572217	ACC	-1.4479568	4.538287	6.460322
3589572222	ACC	-1.3259228	4.514359	6.3236322
3589572227	ACC	-1.2107682	4.449753	6.122635
3589572232	ACC	-1.2011969	4.2963133	5.9261246
3589572237	ACC	-1.2418749	4.188636	5.8037915
3589572242	ACC	-1.3594223	4.078267	5.71765
3589572247	ACC	-1.5487545	3.9346976	5.5594244
3589572252	ACC	-1.6588243	3.7836509	5.4182477
3589572257	ACC	-1.8960128	3.6233318	5.226523
3589572262	ACC	-2.2552354	3.6161532	5.212166
3589572267	ACC	-2.5378876	3.551547	5.3392844
3589572272	ACC	-2.8516464	3.5563326	5.4637113
3589572277	ACC	-3.0960133	3.6113675	5.6530433
3589572282	ACC	-3.2805598	3.6400814	5.839983
3589572287	ACC	-3.441178	3.778865	5.9644094
3589572292	ACC	-3.536891	3.7812579	6.1178493
3589572297	ACC	-3.5560336	3.7932222	6.465108
3589572302	ACC	-3.5201411	3.9107695	6.6999035
3589572308	ACC	-3.4268212	3.7812579	6.8195443
3589572313	ACC	-3.3379877	3.7022948	7.0375905
3589572318	ACC	-3.2039895	3.778865	7.3585277
3589572323	ACC	-3.0170503	3.8270206	7.64118
3589572328	ACC	-2.9452655	3.7645082	7.8831544
3589572333	ACC	-2.9644082	3.6137605	8.113164
3589572338	ACC	-3.076871	3.3502507	8.280961
3589572343	ACC	-3.158526	3.0604203	8.530113
3589572348	ACC	-3.17049	2.993122	8.831908
3589572353	ACC	-3.1438699	3.1202407	9.030513
3589572358	ACC	-3.0625138	3.2952158	9.037691
3589572363	ACC	-3.0577283	3.4005	8.88455
3589572368	ACC	-3.2135608	3.3430724	8.668898
3589572373	ACC	-3.4627135	3.1728828	8.465208
3589572378	ACC	-3.6230326	3.062813	8.328817
3589572383	ACC	-3.795615	2.8974092	8.170592
3589572388	ACC	-3.9681973	2.8208387	7.9983087
3589572393	ACC	-4.0830526	2.8375885	7.8520474
3589572398	ACC	-4.020839	2.7825537	7.7033935
3589572403	ACC	-3.9128633	2.9021947	7.39442
