3590595308	-2.957	4.554	8.599
3590595313	-3.064	4.513	8.666
3590595318	-3.154	4.49	8.727
3590595323	-3.312	4.427	8.837
3590595328	-3.393	4.372	8.925
3590595333	-3.388	4.322	9.019
3590595338	-3.299	4.253	9.138
3590595343	-3.138	4.154	9.284
3590595348	-2.938	4.036	9.444
3590595353	-2.736	3.908	9.613
3590595358	-2.564	3.794	9.756
3590595363	-2.417	3.706	9.83
3590595368	-2.296	3.656	9.828
3590595373	-2.19	3.644	9.746
3590595378	-2.09	3.667	9.575
3590595383	-1.97	3.702	9.332
3590595388	-1.846	3.739	9.029
3590595393	-1.722	3.76	8.672
3590595398	-1.606	3.765	8.278
3590595403	-1.511	3.753	7.892
3590595408	-1.442	3.737	7.53
3590595413	-1.386	3.725	7.187
3590595418	-1.338	3.724	6.875
3590595423	-1.288	3.727	6.624
3590595428	-1.232	3.729	6.433
3590595433	-1.185	3.707	6.282
3590595438	-1.145	3.664	6.178
3590595443	-1.091	3.631	6.134
3590595448	-1.013	3.624	6.134
3590595453	-0.903	3.683	6.085
3590595458	-0.793	3.799	6.005
3590595463	-0.714	3.928	5.869
3590595468	-0.692	4.013	5.656
3590595473	-0.736	4.007	5.363
3590595478	-0.84	3.875	5.088
3590595483	-0.878	3.559	4.766
3590595488	-0.868	3.215	4.451
3590595493	-0.868	2.859	4.196
3590595498	-0.926	2.85	3.994
3590595503	-0.982	2.987	3.722
3590595508	-1.133	3.349	3.505
3590595513	-1.234	3.775	3.264
3590595518	-1.278	4.266	3.053
3590595523	-1.211	4.468	2.819
3590595528	-1.136	4.532	2.72
3590595534	-1.051	4.32	2.612
3590595539	-1.017	3.551	2.444
3590595544	-1.027	2.668	2.432
3590595549	-1.077	1.915	2.792
3590595554	-1.166	1.233	3.005
3590595559	-1.274	0.839	3.294
3590595564	-1.38	0.998	3.754
3590595569	-1.407	1.202	3.991
3590595574	-1.372	1.222	3.819
3590595579	-1.251	1.167	3.665
3590595584	-1.051	0.996	3.386
3590595589	-0.857	0.762	3.008
3590595594	-0.721	0.538	2.644
3590595599	-0.659	0.357	2.391
3590595604	-0.629	0.396	2.409
3590595609	-0.666	0.701	2.811
3590595614	-0.853	1.137	3.56
3590595619	-1.159	1.673	4.469
3590595624	-1.543	2.267	5.406
3590595629	-2.11	2.708	6.327
3590595634	-2.799	2.907	7.092
3590595639	-3.467	2.957	7.652
3590595644	-4.04	2.899	8.073
3590595649	-4.462	2.703	8.366
3590595654	-4.641	2.372	8.378
3590595659	-4.561	1.942	8.062
3590595664	-4.278	1.547	7.567
3590595669	-3.789	1.488	7.112
3590595674	-3.191	1.633	6.663
3590595679	-2.517	1.566	5.994
3590595684	-1.791	1.503	5.256
3590595689	-1.03	1.551	4.528
3590595694	-0.458	1.533	3.992
3590595699	-0.415	1.663	3.937
3590595704	-1.451	3.131	4.811
3590595709	-3.669	6.5	6.298
3590595714	-6.223	10.684	7.372
3590595719	-7.879	13.499	6.831
3590595724	-8.186	14.143	6.341
3590595729	-7.03	12.904	4.903
3590595734	-4.833	9.272	2.704
3590595739	-2.511	4.273	1.513
3590595744	-1.416	0.305	2.886
3590595749	-1.355	-1.346	4.499
3590595754	-1.666	-1.816	6.943
3590595759	-2.062	-1.647	10.352
3590595764	-2.212	-1.224	13.581
3590595769	-1.781	-0.932	15.626
3590595774	-1.252	-1.069	16.829
3590595779	-0.916	-1.348	17.454
3590595784	-0.511	-1.515	17.448
3590595789	-0.161	-1.375	17.023
3590595794	0.173	-0.892	16.383
3590595799	0.771	-0.298	15.66
3590595804	1.726	0.204	14.913
3590595809	2.96	0.664	14.098
3590595814	4.37	1.158	13.245
3590595819	5.866	1.675	12.477
3590595824	7.265	2.308	11.819
3590595829	8.517	2.991	11.162
3590595834	9.608	3.562	10.453
3590595839	10.499	3.929	9.712
3590595844	11.136	4.067	8.944
3590595849	11.586	3.919	8.151
3590595854	11.856	3.551	7.429
3590595859	11.958	3.113	6.882
3590595864	11.911	2.703	6.529
3590595869	11.716	2.363	6.38
3590595874	11.376	2.072	6.366
3590595879	10.882	1.857	6.428
3590595884	10.272	1.688	6.508
3590595889	9.648	1.556	6.557
3590595894	9.163	1.423	6.566
3590595899	8.898	1.273	6.557
3590595904	8.831	1.044	6.531
3590595909	8.894	0.702	6.499
3590595914	8.966	0.218	6.494
3590595919	8.884	-0.371	6.528
3590595924	8.579	-1.037	6.62
3590595929	8.107	-1.702	6.795
3590595934	7.559	-2.332	7.068
3590595939	7.03	-2.929	7.421
3590595944	6.607	-3.505	7.866
3590595949	6.307	-4.046	8.388
3590595954	6.089	-4.548	8.965
3590595959	5.928	-5.005	9.586
3590595964	5.819	-5.398	10.247
3590595969	5.736	-5.739	10.913
3590595974	5.705	-6.033	11.529
3590595979	5.775	-6.294	12.043
3590595984	5.942	-6.531	12.413
3590595989	6.15	-6.711	12.612
3590595995	6.359	-6.793	12.662
3590596000	6.524	-6.787	12.576
3590596005	6.631	-6.734	12.377
3590596010	6.675	-6.64	12.084
3590596015	6.664	-6.531	11.744
3590596020	6.604	-6.422	11.386
3590596025	6.508	-6.298	11.053
3590596030	6.363	-6.152	10.78
3590596035	6.146	-5.991	10.587
3590596040	5.853	-5.826	10.449
3590596045	5.515	-5.681	10.337
3590596050	5.171	-5.564	10.23
3590596055	4.879	-5.458	10.13
3590596060	4.693	-5.356	10.035
3590596065	4.605	-5.254	9.952
3590596070	4.553	-5.136	9.875
3590596075	4.5	-5.009	9.795
3590596080	4.438	-4.873	9.688
3590596085	4.344	-4.71	9.549
3590596090	4.226	-4.53	9.377
3590596095	4.146	-4.373	9.144
3590596100	4.138	-4.237	8.86
3590596105	4.179	-4.136	8.532
3590596110	4.27	-4.11	8.142
3590596115	4.399	-4.107	7.717
3590596120	4.477	-4.084	7.313
3590596125	4.467	-4.033	6.939
3590596130	4.397	-3.949	6.633
3590596135	4.283	-3.834	6.414
3590596140	4.134	-3.765	6.266
3590596145	4.03	-3.748	6.186
3590596150	3.984	-3.78	6.203
3590596155	3.958	-3.837	6.297
3590596160	3.923	-3.907	6.452
3590596165	3.919	-3.962	6.663
3590596170	3.925	-4.015	6.943
3590596175	3.957	-4.082	7.249
3590596180	4.055	-4.173	7.584
3590596185	4.229	-4.267	7.953
3590596190	4.421	-4.333	8.337
3590596195	4.615	-4.372	8.677
3590596200	4.79	-4.385	8.965
3590596205	4.937	-4.375	9.184
3590596210	5.072	-4.355	9.332
3590596215	5.202	-4.345	9.388
3590596220	5.355	-4.326	9.364
3590596225	5.543	-4.298	9.284
3590596230	5.747	-4.266	9.158
3590596235	5.973	-4.249	8.989
3590596240	6.25	-4.231	8.828
3590596245	6.556	-4.201	8.697
3590596250	6.871	-4.151	8.577
3590596255	7.199	-4.094	8.463
3590596260	7.55	-4.023	8.366
3590596265	7.938	-3.965	8.29
3590596270	8.365	-3.93	8.224
3590596275	8.807	-3.922	8.157
3590596280	9.23	-3.917	8.095
3590596285	9.589	-3.904	8.015
3590596290	9.84	-3.879	7.885
3590596295	9.982	-3.842	7.703
3590596300	10.029	-3.792	7.499
3590596305	10.016	-3.753	7.277
3590596310	9.99	-3.742	7.061
3590596315	9.999	-3.763	6.892
3590596320	10.062	-3.812	6.788
3590596325	10.174	-3.879	6.733
3590596330	10.286	-3.941	6.734
3590596335	10.353	-3.98	6.787
3590596340	10.364	-4.006	6.866
3590596345	10.342	-4.033	6.959
3590596350	10.312	-4.064	7.056
3590596355	10.298	-4.095	7.146
3590596360	10.305	-4.117	7.206
3590596365	10.344	-4.125	7.235
3590596370	10.381	-4.115	7.223
3590596375	10.388	-4.086	7.181
3590596380	10.358	-4.045	7.11
3590596385	10.309	-3.998	7.018
3590596390	10.231	-3.941	6.917
3590596395	10.129	-3.891	6.814
3590596400	10.031	-3.852	6.721
3590596405	9.956	-3.82	6.649
3590596410	9.899	-3.805	6.597
3590596415	9.842	-3.806	6.549
3590596420	9.793	-3.813	6.504
3590596425	9.738	-3.838	6.457
3590596430	9.67	-3.895	6.376
3590596435	9.585	-3.968	6.272
3590596440	9.487	-4.071	6.157
3590596445	9.382	-4.202	6.038
3590596450	9.34	-4.38	5.934
3590596455	9.421	-4.612	5.909
3590596461	9.619	-4.879	5.957
3590596466	9.861	-5.112	6.077
3590596471	10.089	-5.284	6.277
3590596476	10.233	-5.349	6.519
3590596481	10.235	-5.294	6.747
3590596486	10.119	-5.149	6.945
3590596491	9.941	-4.952	7.106
3590596496	9.749	-4.713	7.218
3590596501	9.569	-4.459	7.259
3590596506	9.392	-4.193	7.237
3590596511	9.22	-3.928	7.154
3590596516	9.076	-3.682	7.007
3590596521	8.96	-3.493	6.787
3590596526	8.848	-3.358	6.529
3590596531	8.744	-3.291	6.25
3590596536	8.622	-3.287	5.961
3590596541	8.472	-3.36	5.662
3590596546	8.293	-3.492	5.373
3590596551	8.103	-3.666	5.105
3590596556	7.928	-3.865	4.854
3590596561	7.774	-4.079	4.611
3590596566	7.63	-4.269	4.388
3590596571	7.482	-4.416	4.182
3590596576	7.33	-4.534	3.993
3590596581	7.181	-4.645	3.819
3590596586	7.055	-4.762	3.664
3590596591	6.966	-4.904	3.523
3590596596	6.927	-5.095	3.376
3590596601	6.933	-5.323	3.198
3590596606	6.977	-5.557	2.977
3590596611	7.051	-5.794	2.722
3590596616	7.137	-6.027	2.434
3590596621	7.247	-6.243	2.15
3590596626	7.377	-6.451	1.898
3590596631	7.514	-6.657	1.699
3590596636	7.655	-6.865	1.568
3590596641	7.804	-7.075	1.519
3590596646	7.957	-7.289	1.534
3590596651	8.125	-7.506	1.624
3590596656	8.312	-7.727	1.782
3590596661	8.516	-7.947	1.988
3590596666	8.736	-8.159	2.225
3590596671	8.951	-8.365	2.494
3590596676	9.153	-8.559	2.776
3590596681	9.343	-8.737	3.073
3590596686	9.532	-8.883	3.388
3590596691	9.71	-9.003	3.716
3590596696	9.873	-9.087	4.046
3590596701	10.011	-9.128	4.389
3590596706	10.132	-9.117	4.733
3590596711	10.229	-9.065	5.067
3590596716	10.313	-8.966	5.365
3590596721	10.391	-8.837	5.61
3590596726	10.45	-8.69	5.776
3590596731	10.466	-8.542	5.861
3590596736	10.425	-8.394	5.853
3590596741	10.323	-8.263	5.799
3590596746	10.2	-8.155	5.725
3590596751	10.102	-8.07	5.651
3590596756	10.026	-8.005	5.574
3590596761	9.949	-7.969	5.498
3590596766	9.862	-7.938	5.407
3590596771	9.725	-7.907	5.292
3590596776	9.504	-7.879	5.147
3590596781	9.199	-7.86	4.988
3590596786	8.842	-7.839	4.832
3590596791	8.443	-7.821	4.664
3590596796	7.998	-7.791	4.47
3590596801	7.504	-7.743	4.228
3590596806	6.956	-7.675	3.922
3590596811	6.352	-7.605	3.55
3590596816	5.704	-7.539	3.141
3590596821	5.05	-7.492	2.714
3590596826	4.412	-7.462	2.302
3590596831	3.827	-7.43	1.908
3590596836	3.332	-7.359	1.522
3590596841	2.967	-7.258	1.127
3590596846	2.767	-7.125	0.715
3590596851	2.723	-6.975	0.295
3590596856	2.726	-6.808	-0.13
3590596861	2.705	-6.637	-0.523
3590596866	2.648	-6.455	-0.886
3590596871	2.564	-6.259	-1.241
3590596876	2.49	-6.058	-1.598
3590596881	2.542	-5.896	-1.952
3590596886	2.767	-5.802	-2.326
3590596891	3.103	-5.755	-2.672
3590596896	3.482	-5.742	-2.922
3590596901	3.858	-5.763	-3.076
3590596906	4.201	-5.806	-3.135
3590596911	4.505	-5.848	-3.098
3590596916	4.767	-5.893	-2.983
3590596921	4.997	-5.934	-2.824
3590596927	5.22	-5.961	-2.615
3590596932	5.436	-5.953	-2.362
3590596937	5.609	-5.94	-2.073
3590596942	5.76	-5.937	-1.765
3590596947	5.895	-5.956	-1.459
3590596952	5.955	-6.029	-1.165
3590596957	5.893	-6.154	-0.861
3590596962	5.716	-6.256	-0.551
3590596967	5.426	-6.333	-0.268
3590596972	5.029	-6.4	-0.018
3590596977	4.587	-6.431	0.168
3590596982	4.171	-6.45	0.277
3590596987	3.834	-6.532	0.326
3590596992	3.612	-6.659	0.335
3590596997	3.516	-6.821	0.307
3590597002	3.501	-6.998	0.278
3590597007	3.539	-7.152	0.254
3590597012	3.619	-7.259	0.241
3590597017	3.725	-7.355	0.249
3590597022	3.861	-7.46	0.322
3590597027	4.046	-7.574	0.446
3590597032	4.259	-7.699	0.622
3590597037	4.472	-7.834	0.847
3590597042	4.669	-7.961	1.108
3590597047	4.842	-8.069	1.387
3590597052	4.986	-8.161	1.69
3590597057	5.132	-8.251	1.995
3590597062	5.309	-8.321	2.284
3590597067	5.522	-8.379	2.537
3590597072	5.767	-8.441	2.712
3590597077	6.059	-8.521	2.781
3590597082	6.385	-8.62	2.736
3590597087	6.752	-8.754	2.58
3590597092	7.159	-8.923	2.319
3590597097	7.555	-9.087	1.999
3590597102	7.906	-9.228	1.633
3590597107	8.225	-9.371	1.234
3590597112	8.5	-9.528	0.806
3590597117	8.708	-9.709	0.366
3590597122	8.869	-9.92	-0.08
3590597127	8.982	-10.129	-0.505
3590597132	9.026	-10.283	-0.897
3590597137	8.993	-10.339	-1.247
3590597142	8.903	-10.27	-1.534
3590597147	8.777	-10.069	-1.759
3590597152	8.639	-9.765	-1.903
3590597157	8.514	-9.394	-1.962
3590597162	8.423	-8.997	-1.93
3590597167	8.376	-8.603	-1.82
3590597172	8.397	-8.249	-1.621
3590597177	8.489	-7.953	-1.367
3590597182	8.653	-7.732	-1.056
3590597187	8.873	-7.588	-0.718
3590597192	9.135	-7.518	-0.353
3590597197	9.413	-7.509	-0.011
3590597202	9.677	-7.559	0.293
3590597207	9.898	-7.665	0.519
3590597212	10.036	-7.815	0.659
3590597217	10.07	-8.002	0.699
3590597222	10.01	-8.231	0.651
3590597227	9.872	-8.495	0.52
3590597232	9.686	-8.762	0.318
3590597237	9.495	-9.026	0.066
3590597242	9.314	-9.266	-0.224
3590597247	9.135	-9.444	-0.528
3590597252	8.967	-9.536	-0.836
3590597257	8.814	-9.559	-1.121
3590597262	8.685	-9.518	-1.384
3590597267	8.592	-9.445	-1.621
3590597272	8.539	-9.364	-1.827
3590597277	8.537	-9.286	-1.993
3590597282	8.571	-9.203	-2.117
3590597287	8.633	-9.137	-2.187
3590597292	8.706	-9.064	-2.197
3590597297	8.779	-8.994	-2.161
3590597302	8.825	-8.929	-2.084
3590597307	8.832	-8.873	-1.969
3590597312	8.772	-8.799	-1.818
3590597317	8.643	-8.718	-1.651
3590597322	8.453	-8.622	-1.468
3590597327	8.203	-8.509	-1.27
3590597332	7.906	-8.38	-1.058
3590597337	7.589	-8.241	-0.84
3590597342	7.256	-8.083	-0.599
3590597347	6.904	-7.897	-0.33
3590597352	6.546	-7.683	-0.053
3590597357	6.202	-7.44	0.209
3590597362	5.876	-7.178	0.456
3590597367	5.585	-6.915	0.682
3590597372	5.338	-6.66	0.859
3590597377	5.14	-6.421	1.01
3590597382	4.979	-6.205	1.137
3590597388	4.843	-5.992	1.234
3590597393	4.729	-5.761	1.297
3590597398	4.635	-5.527	1.332
3590597403	4.535	-5.301	1.324
3590597408	4.437	-5.082	1.281
3590597413	4.352	-4.881	1.2
3590597418	4.277	-4.713	1.092
3590597423	4.214	-4.581	0.977
3590597428	4.176	-4.47	0.873
3590597433	4.158	-4.383	0.783
3590597438	4.15	-4.332	0.715
3590597443	4.161	-4.309	0.666
3590597448	4.183	-4.302	0.633
3590597453	4.219	-4.31	0.602
3590597458	4.276	-4.335	0.587
3590597463	4.361	-4.356	0.581
3590597468	4.475	-4.384	0.584
3590597473	4.629	-4.415	0.567
3590597478	4.824	-4.451	0.551
3590597483	5.052	-4.486	0.527
3590597488	5.298	-4.515	0.502
3590597493	5.553	-4.537	0.462
3590597498	5.809	-4.548	0.426
3590597503	6.063	-4.558	0.381
3590597508	6.3	-4.576	0.315
3590597513	6.515	-4.602	0.227
3590597518	6.694	-4.631	0.142
3590597523	6.824	-4.667	0.052
3590597528	6.918	-4.707	-0.032
3590597533	6.997	-4.751	-0.085
3590597538	7.06	-4.819	-0.11
3590597543	7.125	-4.908	-0.111
3590597548	7.205	-5.014	-0.073
3590597553	7.297	-5.127	0.01
3590597558	7.393	-5.24	0.12
3590597563	7.484	-5.338	0.257
3590597568	7.566	-5.422	0.413
3590597573	7.626	-5.486	0.589
3590597578	7.656	-5.533	0.764
3590597583	7.672	-5.584	0.931
3590597588	7.687	-5.644	1.093
3590597593	7.714	-5.716	1.251
3590597598	7.752	-5.807	1.401
3590597603	7.801	-5.908	1.549
3590597608	7.851	-6.006	1.698
3590597613	7.895	-6.102	1.838
3590597618	7.927	-6.199	1.959
3590597623	7.955	-6.296	2.067
3590597628	7.979	-6.406	2.153
3590597633	8.0	-6.518	2.222
3590597638	8.027	-6.627	2.289
3590597643	8.071	-6.738	2.359
3590597648	8.136	-6.845	2.414
3590597653	8.225	-6.955	2.434
3590597658	8.339	-7.063	2.419
3590597663	8.463	-7.158	2.355
3590597668	8.598	-7.211	2.234
3590597673	8.74	-7.23	2.085
3590597678	8.875	-7.225	1.953
3590597683	8.926	-7.283	1.919
3590597688	9.034	-7.268	1.815
3590597693	9.157	-7.368	1.753
3590597698	9.281	-7.546	1.715
3590597703	9.409	-7.703	1.686
3590597708	9.602	-7.769	1.592
3590597713	9.749	-7.868	1.606
3590597718	9.883	-7.839	1.622
3590597723	10.012	-7.715	1.629
3590597728	10.137	-7.568	1.621
3590597733	10.248	-7.412	1.595
3590597738	10.301	-7.27	1.551
3590597743	10.335	-7.088	1.491
3590597748	10.361	-6.885	1.419
3590597753	10.37	-6.682	1.324
3590597758	10.349	-6.465	1.206
3590597763	10.302	-6.251	1.071
3590597768	10.193	-6.088	0.921
3590597773	10.036	-5.976	0.768
3590597778	9.851	-5.918	0.631
3590597783	9.675	-5.915	0.498
3590597788	9.525	-5.963	0.372
3590597793	9.382	-6.069	0.251
3590597798	9.233	-6.217	0.113
3590597803	9.062	-6.387	-0.039
3590597808	8.862	-6.552	-0.19
3590597813	8.639	-6.684	-0.354
3590597818	8.409	-6.78	-0.531
3590597823	8.198	-6.832	-0.694
3590597828	8.035	-6.838	-0.856
3590597833	7.952	-6.81	-1.031
3590597838	7.975	-6.773	-1.201
3590597843	8.119	-6.729	-1.36
3590597849	8.35	-6.688	-1.526
3590597854	8.653	-6.653	-1.704
3590597859	8.996	-6.596	-1.882
3590597864	9.358	-6.509	-2.059
3590597869	9.712	-6.387	-2.228
3590597874	10.059	-6.241	-2.363
3590597879	10.387	-6.088	-2.432
3590597884	10.688	-5.96	-2.425
3590597889	10.952	-5.869	-2.339
3590597894	11.181	-5.811	-2.175
3590597899	11.354	-5.779	-1.945
3590597904	11.466	-5.776	-1.651
3590597909	11.52	-5.801	-1.301
3590597914	11.504	-5.856	-0.896
3590597919	11.41	-5.939	-0.475
3590597924	11.253	-6.056	-0.05
3590597929	11.05	-6.194	0.362
3590597934	10.806	-6.35	0.738
3590597939	10.532	-6.527	1.061
3590597944	10.246	-6.743	1.333
3590597949	9.97	-7.001	1.555
3590597954	9.717	-7.312	1.711
3590597959	9.505	-7.689	1.812
3590597964	9.331	-8.127	1.86
3590597969	9.187	-8.599	1.884
3590597974	9.052	-9.074	1.89
3590597979	8.897	-9.512	1.881
3590597984	8.704	-9.88	1.868
3590597989	8.477	-10.154	1.865
3590597994	8.228	-10.331	1.873
3590597999	7.973	-10.412	1.892
3590598004	7.752	-10.424	1.93
3590598009	7.578	-10.387	1.976
3590598014	7.46	-10.295	2.031
3590598019	7.398	-10.158	2.099
3590598024	7.395	-9.989	2.186
3590598029	7.429	-9.781	2.305
3590598034	7.494	-9.541	2.456
3590598039	7.579	-9.31	2.644
3590598044	7.681	-9.084	2.851
3590598049	7.771	-8.875	3.08
3590598054	7.848	-8.694	3.309
3590598059	7.904	-8.535	3.544
3590598064	7.931	-8.394	3.759
3590598069	7.93	-8.277	3.944
3590598074	7.902	-8.183	4.082
3590598079	7.843	-8.097	4.182
3590598084	7.745	-8.017	4.224
3590598089	7.613	-7.931	4.201
3590598094	7.426	-7.838	4.107
3590598099	7.191	-7.731	3.932
3590598104	6.919	-7.614	3.681
3590598109	6.649	-7.491	3.377
3590598114	6.389	-7.363	3.045
3590598119	6.17	-7.237	2.713
3590598124	6.0	-7.118	2.4
3590598129	5.87	-7.008	2.099
3590598134	5.755	-6.909	1.804
3590598139	5.648	-6.823	1.513
3590598144	5.543	-6.74	1.223
3590598149	5.433	-6.66	0.948
3590598154	5.306	-6.585	0.693
3590598159	5.178	-6.526	0.466
3590598164	5.051	-6.482	0.263
3590598169	4.918	-6.455	0.066
3590598174	4.786	-6.439	-0.141
3590598179	4.656	-6.43	-0.354
3590598184	4.527	-6.408	-0.568
3590598189	4.397	-6.367	-0.776
3590598194	4.27	-6.313	-0.964
3590598199	4.152	-6.254	-1.105
3590598204	4.058	-6.2	-1.214
3590598209	3.977	-6.158	-1.292
3590598214	3.914	-6.132	-1.337
3590598219	3.867	-6.114	-1.353
3590598224	3.831	-6.102	-1.357
3590598229	3.821	-6.094	-1.332
3590598234	3.848	-6.1	-1.294
3590598239	3.907	-6.133	-1.245
3590598244	3.983	-6.205	-1.19
3590598249	4.085	-6.307	-1.121
3590598254	4.209	-6.424	-1.032
3590598259	4.326	-6.541	-0.92
3590598264	4.447	-6.644	-0.794
3590598269	4.584	-6.737	-0.651
3590598274	4.723	-6.828	-0.514
3590598279	4.852	-6.927	-0.375
3590598284	4.986	-7.036	-0.233
3590598289	5.105	-7.157	-0.099
3590598294	5.216	-7.28	0.036
3590598299	5.319	-7.409	0.163
3590598304	5.407	-7.545	0.262
3590598309	5.486	-7.694	0.335
3590598315	5.577	-7.843	0.401
3590598320	5.664	-7.996	0.454
3590598325	5.753	-8.142	0.525
3590598330	5.857	-8.276	0.603
3590598335	5.967	-8.388	0.687
3590598340	6.069	-8.487	0.77
3590598345	6.185	-8.564	0.843
3590598350	6.311	-8.616	0.897
3590598355	6.43	-8.643	0.93
